category,category_hits
body,1130000
brain,2600000
cooking,16500000
drugs,6515000
etymology,1040000
food,96000000
health,11028000
history,39011000
law,4580000
mind,33400000
nature,1280000
physics,4665000
psychology,1700000
religion,50220000
science,684066000
technology,1510000
transportation,3700000
